Subject,Term,Parents,Descr,ScopeNote,Type,ExtraType
http://vocab.getty.edu/aat/300425839,food packaging tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425840,food packing machine,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425841,food paddle,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425842,food pestle,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425846,food preparation board,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425847,food preparation container,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425848,food preparation equipment,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425850,food processing container,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425852,food processing tank,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425853,food processing vat,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425856,food sample,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425857,food scoop,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425858,food screen,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425859,food separating tool,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425860,food service accessories,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425861,food service cart,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425862,food service case,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425863,food service dispenser,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425866,food service tray,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425867,food shaper,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425868,food slicer,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425869,food smoker,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425870,food sorter,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425872,food storage bag,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425873,food storage basket,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425874,food storage bin,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425875,food storage bowl,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425876,food storage box,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425877,food storage bucket,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425878,food storage cabinet,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425879,food storage can,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425880,food storage canister,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425881,food storage chest,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425882,food storage cover,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425883,food storage crock,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425884,food storage cupboard,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425885,food storage equipment,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425886,food storage jar,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425887,food storage jug,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425888,food storage keg,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425889,food storage rack,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425890,food storage tank,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425891,food storage tub,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425892,food storage vat,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425893,food warmers,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,"Devices or surfaces that are designed to keep food or drinks warm over a period of time, usually as a prelude to being served, as at a buffet.",Concept,
http://vocab.getty.edu/aat/300425894,food waste container,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/aat/300425895,food wrap,"<temporary alphabetical list: culinary equipment>, culinary equipment, ... Objects Facet",,,Concept,
http://vocab.getty.edu/tgn/2147046,Banquet Foods Reservoir,"Jackson, Ohio, ... World",,,AdminPlaceConcept,reservoirs (water distribution structures)
http://vocab.getty.edu/tgn/2518965,Mixes Food Creek,"Pennington, South Dakota, ... World",,,PhysPlaceConcept,creeks (bodies of water)
http://vocab.getty.edu/tgn/7531403,Shirkat Fāyn Fūdz,"Cairo, Egypt, ... World",,,AdminPlaceConcept,buildings (structures)
http://vocab.getty.edu/tgn/8051491,CH Food Industries,"Northwest Frontier, Pakistan, ... World",,,AdminPlaceConcept,factories (structures)
http://vocab.getty.edu/tgn/7930268,Mārvi Enterprises Food Grain Godowns,"Sindh, Pakistan, ... World",,,AdminPlaceConcept,industrial centers (inhabited places)
http://vocab.getty.edu/tgn/7962619,MF Food Industries,"Sindh, Pakistan, ... World",,,AdminPlaceConcept,factories (structures)
http://vocab.getty.edu/tgn/7965453,Paradise Food Industries,"Sindh, Pakistan, ... World",,,AdminPlaceConcept,factories (structures)
http://vocab.getty.edu/ulan/500289221,"Great Britain. Department for Environment, Food & Rural Affairs",Corporate Bodies,"British department, contemporary","Takes over responsibility for agriculture and the food industry from the former Ministry of Agriculture Fisheries and Food; environment, rural development, countryside, wildlife and sustainable development responsibilities of the former Department of the Environment, Transport and the Regions; and responsibility for animal welfare and hunting from the Home Office.",GroupConcept,departments (organizational units)
http://vocab.getty.edu/ulan/500455625,Institut européen d'histoire de l'alimentation,Unidentified Named People and Firms,corporate body,,PersonConcept,corporate bodies
http://vocab.getty.edu/ulan/500458863,Institut européen d'histoire et des cultures de l'alimentation,Unidentified Named People and Firms,corporate body,,PersonConcept,corporate bodies
